MODELYEAR,MAKE,MODEL,VEHICLECLASS,FUELTYPE,CYLINDERS,ENGINESIZE,FUELCONSUMPTION_HWY,FUELCONSUMPTION_CITY,FUELCONSUMPTION_COMB,CO2EMISSIONS
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,Z,8,4,9.8,15.4,12.9,297
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,Z,12,6,11.5,18.8,15.5,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,Z,8,4,10.3,16.8,13.9,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,Z,12,6,12.2,20,16.5,380
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,Z,8,4,10.6,16.7,14,322
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,Z,12,6,12.2,20,16.5,380
2014,BENTLEY,FLYING SPUR,MID-SIZE,Z,12,6,12.2,20,16.5,380
2014,BENTLEY,MULSANNE,MID-SIZE,Z,8,6.8,14.9,22.3,19,437
2014,BMW,320i,COMPACT,Z,4,2,6.5,10,8.4,193
2014,BMW,320i,COMPACT,Z,4,2,6.7,10.4,8.7,200
2014,BMW,320i xDRIVE,COMPACT,Z,4,2,7,10.2,8.8,202
2014,BMW,328d xDRIVE,COMPACT,X,4,2,5.5,7.6,6.7,181
2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,X,4,2,5.5,7.6,6.7,181
2014,BMW,328i,COMPACT,Z,4,2,6.5,10,8.4,193
2014,BMW,328i,COMPACT,Z,4,2,6.7,10.4,8.7,200
2014,BMW,328i xDRIVE,COMPACT,Z,4,2,7.2,10.6,9.1,209
2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,Z,4,2,7.2,10.6,9.1,209
2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,Z,4,2,7.2,10.6,9.1,209
2014,BMW,335i,COMPACT,Z,6,3,7.3,11.4,9.6,221
2014,BMW,335i,COMPACT,Z,6,3,7.9,11.8,10,230
2014,BMW,335i xDRIVE,COMPACT,Z,6,3,7.8,11.7,9.9,228
2014,BMW,335i xDRIVE,COMPACT,Z,6,3,8.3,11.9,10.3,237
2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,Z,6,3,8,11.9,10.1,232
2014,BMW,428i COUPE,COMPACT,Z,4,2,6.5,10,8.4,193
2014,BMW,428i COUPE,COMPACT,Z,4,2,6.7,10.4,8.7,200
2014,BMW,428i xDRIVE COUPE,COMPACT,Z,4,2,7.2,10.6,9.1,209
2014,BMW,435i COUPE,COMPACT,Z,6,3,7.3,11.4,9.6,221
2014,BMW,435i COUPE,COMPACT,Z,6,3,7.9,11.8,10,230
2014,BMW,435i xDRIVE COUPE,COMPACT,Z,6,3,7.8,11.7,9.9,228
2014,BMW,435i xDRIVE COUPE,COMPACT,Z,6,3,8.3,11.9,10.3,237
2014,BMW,528i,MID-SIZE,Z,4,2,7,10.2,8.8,202
2014,BMW,528i xDRIVE,MID-SIZE,Z,4,2,7.2,10.6,9.1,209
2014,BMW,535d xDRIVE,MID-SIZE,Z,6,3,6.4,9.2,7.9,213
2014,BMW,535i xDRIVE,MID-SIZE,Z,6,3,8,11.9,10.1,232
2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,Z,6,3,8.6,12.5,10.7,246
2014,BMW,550i xDRIVE,MID-SIZE,Z,8,4.4,9.6,14.4,12.2,281
2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,Z,8,4.4,9.8,15,12.7,292
2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,Z,6,3,8,11.9,10.1,232
2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,Z,8,4.4,9.8,15,12.7,292
2014,BMW,650i xDRIVE COUPE,COMPACT,Z,8,4.4,9.6,14.4,12.2,281
2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,Z,8,4.4,9.8,15,12.7,292
2014,BMW,740Li xDRIVE,FULL-SIZE,Z,6,3,8.6,12.5,10.7,246
2014,BMW,750i xDRIVE,FULL-SIZE,Z,8,4.4,9.8,15,12.7,292
2014,BMW,750Li xDRIVE,FULL-SIZE,Z,8,4.4,9.8,15,12.7,292
2014,BMW,760Li,FULL-SIZE,Z,12,6,11.5,18.7,15.5,356
2014,BMW,ACTIVEHYBRID 3,COMPACT,Z,6,3,7.1,9.2,8.3,191
2014,BMW,ACTIVEHYBRID 5,MID-SIZE,Z,6,3,7.9,10.5,9.3,214
2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,Z,6,3,7.6,10.5,9.2,212
2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,Z,8,4.4,9.8,15,12.7,292
2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,Z,8,4.4,9.8,15,12.7,292
2014,BMW,M5,MID-SIZE,Z,8,4.4,11.5,17.3,14.7,338
2014,BMW,M5,MID-SIZE,Z,8,4.4,10.9,16.2,13.8,317
2014,BMW,M6,COMPACT,Z,8,4.4,11.5,17.3,14.7,338
2014,BMW,M6,COMPACT,Z,8,4.4,10.9,16.2,13.8,317
2014,BMW,M6 CABRIOLET,SUBCOMPACT,Z,8,4.4,11.5,17.3,14.7,338
2014,BMW,M6 CABRIOLET,SUBCOMPACT,Z,8,4.4,10.9,16.2,13.8,317
2014,BMW,M6 GRAN COUPE,COMPACT,Z,8,4.4,11.5,17.3,14.7,338
2014,BMW,M6 GRAN COUPE,COMPACT,Z,8,4.4,10.9,16.2,13.8,317
2014,BMW,X1 xDRIVE28i,SUV - SMALL,Z,4,2,7.2,10.6,9.1,209
2014,BMW,X1 xDRIVE35i,SUV - SMALL,Z,6,3,8.9,13.2,11.3,260
2014,BMW,X3 xDRIVE28i,SUV - SMALL,Z,4,2,8.5,11.2,10,230
2014,BMW,X3 xDRIVE35i,SUV - SMALL,Z,6,3,9.1,12.6,11,253
2014,BMW,X5 xDRIVE35i,SUV - STANDARD,Z,6,3,8.8,12.9,11.1,255
2014,BMW,X5 xDRIVE50i,SUV - STANDARD,Z,8,4.4,10.9,16.3,13.9,320
2014,BMW,X6 M,SUV - STANDARD,Z,8,4.4,13.7,18.1,16.1,370
2014,BMW,X6 xDRIVE35i,SUV - STANDARD,Z,6,3,9.8,13.6,11.9,274
2014,BMW,X6 xDRIVE50i,SUV - STANDARD,Z,8,4.4,11.3,16.4,14.1,324
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,Z,4,2,7.1,10.8,9.1,209
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,Z,4,2,6.7,10.4,8.7,200
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,Z,6,3,10.1,13.7,12.1,278
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,Z,6,3,9,12.7,11,253
2014,BMW,Z4 sDRIVE35is,TWO-SEATER,Z,6,3,10.1,13.7,12.1,278
2014,BUICK,ENCLAVE,SUV - STANDARD,X,6,3.6,9.9,14.3,12.3,283
2014,BUICK,ENCLAVE AWD,SUV - STANDARD,X,6,3.6,10.2,14.6,12.6,290
2014,BUICK,ENCORE,SUV - SMALL,X,4,1.4,7.2,9.5,8.5,196
2014,BUICK,ENCORE AWD,SUV - SMALL,X,4,1.4,8,10.2,9.2,212
2014,BUICK,LACROSSE,MID-SIZE,X,6,3.6,8.7,13.7,11.5,264
2014,BUICK,LACROSSE,MID-SIZE,Z,6,3.6,12.2,18.4,15.6,250
2014,BUICK,LACROSSE AWD,MID-SIZE,X,6,3.6,8.9,13.7,11.5,264
2014,BUICK,LACROSSE AWD,MID-SIZE,Z,6,3.6,13,19.4,16.5,264
2014,BUICK,LACROSSE eASSIST,MID-SIZE,X,4,2.4,6.5,9.6,8.2,189
2014,BUICK,REGAL,MID-SIZE,Z,4,2,7.9,11.5,9.9,228
2014,BUICK,REGAL,MID-SIZE,Z,4,2,7.5,11.6,9.8,225
2014,BUICK,REGAL AWD,MID-SIZE,Z,4,2,8.7,12.3,10.7,246
2014,BUICK,REGAL eASSIST,MID-SIZE,X,4,2.4,6.5,9.6,8.2,189
2014,BUICK,VERANO,COMPACT,Z,4,2,7.9,11.5,9.9,228
2014,BUICK,VERANO,COMPACT,Z,4,2,7.5,11.6,9.8,225
2014,BUICK,VERANO,COMPACT,X,4,2.4,7.4,11.3,9.5,218
2014,CADILLAC,ATS,COMPACT,Z,4,2,7.5,11.3,9.6,221
2014,CADILLAC,ATS,COMPACT,Z,4,2,7.9,12.1,10.2,235
2014,CADILLAC,ATS,COMPACT,X,4,2.5,7.2,10.5,9,207
2014,CADILLAC,ATS,COMPACT,X,6,3.6,8.5,12.8,10.9,251
2014,CADILLAC,ATS AWD,COMPACT,Z,4,2,8.1,11.8,10.1,232
2014,CADILLAC,ATS AWD,COMPACT,X,6,3.6,9,13.1,11.3,260
2014,CADILLAC,CTS COUPE,MID-SIZE,X,6,3.6,8.7,13.2,11.2,258
2014,CADILLAC,CTS COUPE AWD,MID-SIZE,X,6,3.6,9,13.3,11.4,262
2014,CADILLAC,CTS SEDAN,MID-SIZE,Z,4,2,7.9,11.9,10.1,232
2014,CADILLAC,CTS SEDAN,MID-SIZE,X,6,3.6,8.2,12.9,10.8,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,Z,4,2,8.5,12.6,10.8,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,X,6,3.6,9,13.1,11.3,260
2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,Z,6,3.6,9.9,15.1,12.8,294
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,X,6,3,8.9,12.7,11,253
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,X,6,3.6,8.9,13.3,11.3,260
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,X,6,3,9.1,12.8,11.1,255
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,X,6,3.6,9,13.3,11.4,262
2014,CADILLAC,CTS-V COUPE,MID-SIZE,Z,8,6.2,12.9,19.7,16.6,382
2014,CADILLAC,CTS-V COUPE,MID-SIZE,Z,8,6.2,12.5,16.7,14.8,340
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,Z,8,6.2,12.9,19.7,16.6,382
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,Z,8,6.2,12.5,16.7,14.8,340
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,Z,8,6.2,12.9,19.7,16.6,382
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,Z,8,6.2,12.5,16.7,14.8,340
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,Z,8,6.2,11.8,17,14.7,338
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,X,8,6.2,16.1,23.3,20.1,322
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,Z,8,6.2,13.4,18.8,16.4,377
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,Z,8,6.2,17.8,25.7,22.1,354
2014,CADILLAC,SRX,SUV - STANDARD,X,6,3.6,9.8,14.3,12.3,283
2014,CADILLAC,SRX AWD,SUV - STANDARD,X,6,3.6,10.4,14.8,12.8,294
2014,CADILLAC,XTS,FULL-SIZE,X,6,3.6,8.6,13.6,11.4,262
2014,CADILLAC,XTS AWD,FULL-SIZE,X,6,3.6,9.1,14,11.8,271
2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,Z,6,3.6,9.8,14.8,12.6,290
2014,CHEVROLET,CAMARO,COMPACT,X,6,3.6,8.7,13.2,11.2,258
2014,CHEVROLET,CAMARO,COMPACT,X,6,3.6,8.6,14.2,11.7,269
2014,CHEVROLET,CAMARO 2LS,COMPACT,X,6,3.6,7.9,12.7,10.5,242
2014,CHEVROLET,CAMARO SS,COMPACT,Z,8,6.2,9.8,15.3,12.8,294
2014,CHEVROLET,CAMARO SS,COMPACT,Z,8,6.2,9.9,15,12.7,292
2014,CHEVROLET,CAMARO ZL1,COMPACT,Z,8,6.2,12.9,19.7,16.6,382
2014,CHEVROLET,CAMARO ZL1,COMPACT,Z,8,6.2,12.5,16.7,14.8,340
2014,CHEVROLET,CORVETTE,TWO-SEATER,Z,8,6.2,8.5,14.9,12,276
2014,CHEVROLET,CORVETTE,TWO-SEATER,Z,8,6.2,8.2,13.7,11.2,258
2014,CHEVROLET,CRUZE,MID-SIZE,X,4,1.4,6.3,9.1,7.8,179
2014,CHEVROLET,CRUZE,MID-SIZE,X,4,1.4,6.3,9.1,7.8,179
2014,CHEVROLET,CRUZE,MID-SIZE,X,4,1.8,6.7,10.5,8.8,202
2014,CHEVROLET,CRUZE,MID-SIZE,X,4,1.8,6.5,9.5,8.2,189
2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,Z,4,2,5.1,8.7,7.1,192
2014,CHEVROLET,CRUZE ECO,MID-SIZE,X,4,1.4,6,9.1,7.7,177
2014,CHEVROLET,CRUZE ECO,MID-SIZE,X,4,1.4,5.6,8.4,7.1,163
2014,CHEVROLET,EQUINOX,SUV - SMALL,X,4,2.4,7.3,10.5,9.1,209
2014,CHEVROLET,EQUINOX,SUV - SMALL,X,6,3.6,9.6,13.9,12,276
2014,CHEVROLET,EQUINOX,SUV - SMALL,X,6,3.6,13.1,18.8,16.2,259
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,X,4,2.4,8.2,11.5,10,230
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,X,6,3.6,9.9,14.8,12.6,290
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,Z,6,3.6,13.6,19.8,17,272
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,X,6,4.3,12.7,17.1,15.1,347
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,X,8,5.3,13.4,18,15.9,366
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,X,8,5.3,17.7,23.5,20.9,334
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,X,8,5.3,14.2,18.3,16.5,380
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,Z,8,5.3,18.8,23.7,21.5,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,X,8,5.3,13.9,18.6,16.5,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,X,8,5.3,18.5,23.9,21.5,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,X,8,5.3,14.2,18.3,16.5,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,Z,8,5.3,19.3,25.3,22.6,362
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,X,8,5.3,13.9,18.6,16.5,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,Z,8,5.3,18.5,23.9,21.5,344
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,X,8,5.3,14.2,18.3,16.5,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,X,8,5.3,19.3,25.3,22.6,362
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,X,8,4.8,14.2,21.1,18,414
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,X,8,6,15,21.9,18.8,432
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,Z,8,6,20.4,30,25.7,411
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,X,8,4.8,14.3,21.3,18.2,419
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,X,8,6,15,22.1,18.9,435
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,X,8,6,20.5,30.2,25.8,413
2014,CHEVROLET,IMPALA,FULL-SIZE,X,4,2.5,7.5,11.3,9.6,221
2014,CHEVROLET,IMPALA,FULL-SIZE,X,6,3.6,8.2,12.6,10.6,244
2014,CHEVROLET,IMPALA,FULL-SIZE,Z,6,3.6,11.3,16.7,14.3,229
2014,CHEVROLET,IMPALA ECO,FULL-SIZE,X,4,2.4,7,10,8.7,200
2014,CHEVROLET,MALIBU,MID-SIZE,Z,4,2,7.9,11.5,9.9,228
2014,CHEVROLET,MALIBU,MID-SIZE,X,4,2.5,6.4,9.3,8,184
2014,CHEVROLET,ORLANDO,SUV - SMALL,X,4,2.4,8.6,12.2,10.6,244
2014,CHEVROLET,ORLANDO,SUV - SMALL,X,4,2.4,8.3,11.8,10.2,235
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,X,6,4.3,9.9,13.4,11.8,271
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,X,6,4.3,14.2,18.9,16.8,269
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,X,8,5.3,10.3,14.6,12.7,292
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,Z,8,5.3,13.7,19.5,16.9,270
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,Z,8,6.2,11.4,16.3,14.1,324
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,X,6,4.3,10.6,14.2,12.6,290
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,X,6,4.3,15.1,20,17.8,285
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,X,8,5.3,10.6,14.9,13,299
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,Z,8,5.3,14.2,19.9,17.3,277
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,Z,8,6.2,11.7,16.4,14.3,329
2014,CHEVROLET,SONIC,COMPACT,X,4,1.4,6.7,9.1,8,184
2014,CHEVROLET,SONIC,COMPACT,X,4,1.4,6.2,8.5,7.5,173
2014,CHEVROLET,SONIC,COMPACT,X,4,1.8,6.6,9.6,8.3,191
2014,CHEVROLET,SONIC,COMPACT,X,4,1.8,6.7,8.9,7.9,182
2014,CHEVROLET,SONIC 5,MID-SIZE,X,4,1.4,6.7,9.1,8,184
2014,CHEVROLET,SONIC 5,MID-SIZE,X,4,1.4,6.2,8.5,7.5,172
2014,CHEVROLET,SONIC 5,MID-SIZE,X,4,1.8,6.6,9.6,8.3,191
2014,CHEVROLET,SONIC 5,MID-SIZE,X,4,1.8,6.7,8.9,7.9,182
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,X,4,1.4,7,9.4,8.3,191
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,X,4,1.4,7,8.7,7.9,182
2014,CHEVROLET,SONIC RS,COMPACT,X,4,1.4,7,9.4,8.3,191
2014,CHEVROLET,SONIC RS,COMPACT,X,4,1.4,7,8.7,7.9,182
2014,CHEVROLET,SPARK,SUBCOMPACT,X,4,1.2,6,7.7,6.9,159
2014,CHEVROLET,SPARK,SUBCOMPACT,X,4,1.2,6,7.6,6.9,159
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,X,8,5.3,11.1,16,13.8,317
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,X,8,5.3,14.6,21.5,18.4,294
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,X,8,5.3,11.1,16,13.8,317
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,Z,8,5.3,14.6,21.5,18.4,294
2014,CHEVROLET,TAHOE,SUV - STANDARD,X,8,5.3,11.1,16,13.8,317
2014,CHEVROLET,TAHOE,SUV - STANDARD,X,8,5.3,14.6,21.5,18.4,294
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,X,8,5.3,11.1,16,13.8,317
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,Z,8,5.3,14.6,21.5,18.4,294
2014,CHEVROLET,TRAVERSE,SUV - STANDARD,X,6,3.6,9.9,14.3,12.3,283
2014,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,X,6,3.6,10.2,14.6,12.6,290
2014,CHEVROLET,TRAX,SUV - SMALL,X,4,1.4,7.1,9.4,8.4,193
2014,CHEVROLET,TRAX,SUV - SMALL,X,4,1.4,6.8,9.1,8.1,186
2014,CHEVROLET,TRAX AWD,SUV - SMALL,X,4,1.4,7.8,10,9,207
2014,CHRYSLER,300,FULL-SIZE,X,6,3.6,7.7,12.4,10.3,237
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,X,4,2.4,8.2,11.7,10.1,232
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,X,4,2.4,8.1,12.9,10.7,246
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,X,6,3.6,8.1,12.5,10.5,242
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,Z,6,3.6,11.2,17,14.4,230
2014,CHRYSLER,200 SEDAN,MID-SIZE,X,4,2.4,8,11.2,9.8,225
2014,CHRYSLER,200 SEDAN,MID-SIZE,X,4,2.4,7.6,12,10,230
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,X,6,3.6,8.1,12.5,10.5,242
